agent_id,name,link,agency,genres,authors
1,Laurie  Abkemeier,/literary_agents/laurie_abkemeier,DeFiore and Company,BIPOC Voices|Journalism/Investigative Reporting|Narrative Nonfiction|Nonfiction|Pop Culture,Jennifer Keishin Armstrong|John Grogan|Nathalia Holt|Cal Newport|Jessica Lahey|Yumi Sakugawa
2,Miriam  Altshuler ,/literary_agents/miriam_altshuler,DeFiore and Company,Autobiography/Memoir|Commercial Fiction|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction,Harriet Brown|Andrew Carroll|Robb Forman Dew|Barbara Esstman|Joanna Pearson
3,Betsy Amster,/literary_agents/betsy_amster,Betsy Amster Literary Enterprises,Fiction|Graphic/Illustrated|Literary Fiction|Narrative Nonfiction,Dr. Elaine Aron|Sandi Ault|Kim Boyce|Robin Chotzinoff|Margaret Leslie Davis|María Amparo Escandón|Tom Fields-Meyer|Tanya Ward Goodman|Joy Nicholson|Christopher Noxon|Dr. Barry Prizant|Louise Steinman|Terry Theise|Diana Wells
4,Claire Anderson-Wheeler,/literary_agents/claire_andersonwheeler,Regal Hoffmann &amp; Associates,Autobiography/Memoir|Fiction|Literary Fiction|Narrative Nonfiction|Young Adult,Dan Cluchey|Patrick Dacey|Eldonna Edwards|Faith Gardner|Samantha Mabry|Joanne O'Sullivan|Jamie Raintree|Liesl Shurtliff|Melissa Scholes Young
5,Nicole Aragi,/literary_agents/nicole_aragi,Aragi Inc.,Feminist|Graphic/Illustrated|Historical|Literary Fiction|Narrative Nonfiction,Jonathan Safran Foer|Colson Whitehead
6,Amelia Atlas,/literary_agents/amelia_atlas,ICM Partners,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction|Political,Caite Dolan-Leach|Mark O’Connell|Matt Gallagher|Joy Williams
7,Claudia Ballard,/literary_agents/claudia_ballard,William Morris Endeavor,Autobiography/Memoir|Fiction|Humor|Narrative Nonfiction|Pop Culture,Amelia Gray|Marjorie Celona|Ben Nugent|Kenneth Calhoun|Marie-Helene Bertino|Emma Straub|Megan Amram|Charlie Kaufman|Eddie Joyce
8,Noah Ballard,/literary_agents/noah_ballard,Curtis Brown, Ltd.,Fiction|Literary Fiction|Narrative Nonfiction|Young Adult,Josh Gondelman|JoAnna Novak|Tochi Onyebuchi|Justin Taylor|Nick White
9,Lisa Bankoff,/literary_agents/lisa_bankoff,Bankoff Collaborative, LLC.,Autobiography/Memoir|Commercial Fiction|Literary Fiction|Narrative Nonfiction,Nancy Horan|Julie Schumacher|Douglas Brinkley|Frank Bruni|John Colapinto|Nicole Kelby|Chris Hedges|Joshua Henkin|Christa Parravani
10,Julie Barer,/literary_agents/julie_barer,The Book Group,Commercial Fiction|Literary Fiction,Rumaan Alam|Mia Alvar|Joshua Ferris|Lily King|Celeste Ng|Gina Ochsner|Kevin Wilson|Charles Yu
11,Ethan Bassoff,/literary_agents/ethan_bassoff,Massie &amp; McQuilkin,Autobiography/Memoir|Cross-genre|Experimental|Graphic/Illustrated|Historical|Humor|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction|Political|Pop Culture,Kris D'Agostino|Amber Dermont|Michael Chorost
12,Faye Bender,/literary_agents/faye_bender,The Book Group,Literary Fiction|Commercial Fiction,Alexandra Bullen Coutts|Ariel Gore|Helen Phillips|Joe Shine|Rebecca Stead|Francisco Stork|Karen Romano Young
13,Soumeya  Bendimerad Roberts,/literary_agents/soumeya_bendimerad_roberts,HG Literary,Autobiography/Memoir|Fiction|Healing/Health|Literary Fiction|Nonfiction,Keely Hutton|Rosalie Knecht|Mike Roberts
14,Amy Berkower,/literary_agents/amy_berkower,Writers House LLC,Commercial Fiction|Literary Fiction,Erica Bauermeister|Nalini Jones|Erica Jong|Ken Follett
15,Vicky Bijur,/literary_agents/vicky_bijur,Vicky Bijur Literary Agency,Commercial Fiction|Literary Fiction,Laura Lippman|Lisa Genova|James Sallis|Christina Shea|Margaret Maron
16,Amy Elizabeth Bishop,/literary_agents/amy_elizabeth_bishop,Dystel, Goderich &amp; Bourret,BIPOC Voices|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nonfiction|Young Adult,Diana Biller|Kelsy Burke|June Hur|Nancy Jooyoun Kim
17,Brettne Bloom,/literary_agents/brettne_bloom,The Book Group,Autobiography/Memoir|Commercial Fiction|Historical|Journalism/Investigative Reporting,Patty Chang Anker|Juan Cole|Elisabeth Egan|Sophie Flack|Alison Singh Gee|Charlotte Gordon|J. Courtney Sullivan
18,Georges Borchardt,/literary_agents/georges_borchardt,Georges Borchardt,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,T. Coraghessan Boyle|John Lahr|Claire Messud|Elie Wiesel
19,Sarah Bowlin,/literary_agents/sarah_bowlin,Aevitas Creative Management,Autobiography/Memoir|Feminist|Fiction|Historical|Humor|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Political|Pop Culture,I am at the very beginning of building a client list|but as an editor I worked with Sheila Heti|Helen Phillips|Ramona Ausubel|Gabriel Urza|Juan Gabriel Vasquez|Luvvie Ajayi|Rachel Khong|Julie Buntin|Matt Sumell|Eric Fair|Aria Sloss|and Evan Hughes|among others.
20,Paul Bresnick,/literary_agents/paul_bresnick,Bresnick Weil Literary Agency,Fiction|Nonfiction,John Leland|Will Hermes|RJ Smith|Terry McDermott|Ellis Weiner|Steven Kotler|Preston Lauterbach|A.E. Hotchner|Robert Greenfield|Alex Tizon|Robert Young Pelton|and Kevin Sites
21,Regina Brooks,/literary_agents/regina_brooks,Serendipity Literary Agency,Autobiography/Memoir|Commercial Fiction|Fiction|Narrative Nonfiction|Nonfiction|Young Adult,Derrick Barnes|Sundee Frazier|Ed Gordon|Dick Gregory|Marcus Hunter|PhD|Charreah Jackson|Lawrence Jackson|jessica Care moore|Marilyn Nelson|Claire Nicogossian|Calaya Reid|David Warmflash|Bil Wright
22,Danielle Bukowski,/literary_agents/danielle_bukowski,Sterling Lord Literistic, Inc.,BIPOC Voices|Commercial Fiction|Feminist|Fiction|LGBTQ Voices|Literary Fiction|Narrative Nonfiction,Edgar Gomez|Joseph Han|Stephanie Jimenez|Nancy Johnson|Rafe Posey|Bryan Washington
23,Sarah Burnes,/literary_agents/sarah_burnes,The Gernert Company,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Susan Burton|Rachel Kadish|Alyssa Sheinmel
24,Chris Calhoun,/literary_agents/chris_calhoun,Chris Calhoun Agency,Autobiography/Memoir|Fiction|Historical|Literary Fiction|Narrative Nonfiction|Nonfiction|Political|War,Billy Collins|Mary Beth Keane|Meghan O’Rourke|Ron Rosenbaum
25,Tess Callero,/literary_agents/tess_callero,Curtis Brown, Ltd.,Commercial Fiction|Fiction|Love|Young Adult,Katherine Laurin|Kristina Miranda
26,Jennifer Carlson,/literary_agents/jennifer_carlson,Dunow, Carlson &amp; Lerner Literary Agency,Narrative Nonfiction|Literary Fiction|Commercial Fiction|Journalism/Investigative Reporting,Kevin Brockmeier|Marisa de los Santos|Paul Reyes
27,Sylvie Carr,/literary_agents/sylvie_carr,The Carr Agency, LLC,Autobiography/Memoir|Fiction|Historical|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nonfiction|Political,Rand Fishkin|Keyu Jin|Jake Knapp|Lauren Markham|Trevor Shikaze|Krystal Sital|Andria Williams
28,Lucy  Carson,/literary_agents/lucy_carson,Friedrich Agency,Autobiography/Memoir|Commercial Fiction|Literary Fiction|Narrative Nonfiction,Duchess Goldblatt|Jessica Khoury|Glynnis MacNicol|Alexandra Oliva
29,Terra Chalberg,/literary_agents/terra_chalberg,Chalberg &amp; Sussman,Autobiography/Memoir|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction,Alison Amend|Elise Blackwell|Margaux Fragoso|Jon Pineda|Andrew Porter|Glenn Taylor|Diana Wagman  
30,Farley Chase,/literary_agents/farley_chase,Chase Literary Agency,Autobiography/Memoir|Commercial Fiction|Fiction|Graphic/Illustrated|Historical|Humor|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction|Pop Culture,Gilbert King|Jill Leovy|Dr. Edie Widder|Dan Slater|William Geroux|Dr. Lucy Jones|Jonathan Meiburg|Katie Booth
31,Elyse  Cheney,/literary_agents/elyse_cheney,Elyse Cheney Literary Associates,Autobiography/Memoir|Commercial Fiction|Fiction|Historical|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nonfiction|Political,Dave Eggers|Terri Jentz|Benjamin Kunkel|Nathaniel Rich|Suzanne Rivecca|Marco Roth|Jess Row.
32,Steven Chudney,/literary_agents/steven_chudney,The Chudney Agency,Fiction|Historical|Humor|LGBTQ Voices|Literary Fiction|Young Adult,Sara Biren|Tanita David|Elizabeth DeVeer|Karen English|Jacob Grant|Ashley Hope Perez|Eman Quota
33,William Clark,/literary_agents/william_clark,William Clark Associates ,Autobiography/Memoir|Historical|Journalism/Investigative Reporting|Narrative Nonfiction|Nature/Environmental|Nonfiction|Political|Pop Culture|Religious/Spiritual,Jake Adelstein|Lois Banner|Will Friedwald|Zack O'Malley Greenburg|Peter Hessler|Dzogchen Ponlop|Martha Teichner|Yuval Taylor
34,Bill  Clegg,/literary_agents/bill_clegg,The Clegg Agency,Autobiography/Memoir|Literary Fiction|Narrative Nonfiction|Poetry,Emma Cline|Nick Flynn|Rivka Galchen|Lauren Groff|Christopher Hebert|Tao Lin|Ottessa Moshfegh|Rob Spillman|Matthew Thomas|Kao Kalia Yang
35,Frances Coady,/literary_agents/frances_coady,Aragi Inc.,Autobiography/Memoir|Feminist|Historical|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Political,Ava Chin|Michael Cunningham|Anders Nilsen|Sharon Olds|Claudia Rankine|Ocean Vuong
36,Ashley Collom,/literary_agents/ashley_collom,DeFiore and Company,Commercial Fiction|Fiction|Graphic/Illustrated|LGBTQ Voices|Literary Fiction|Love,Jackie Dodd|Gigi Engle|Jenipher Lyn|Linda Miller Nicholson|Brittany Wright
37,Rachel Crawford,/literary_agents/rachel_crawford,MacKenzie Wolf,Literary Fiction|Narrative Nonfiction|Nonfiction|Young Adult,Eric Dean Wilson|Megan Milks|Tom Cho
38,Laura  Dail ,/literary_agents/laura_dail,Laura Dail Literary Agency,Autobiography/Memoir|Commercial Fiction|Fiction|Healing/Health|Historical|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction,Lisa Bloom|Sarah Mlynowski|and Frank DeCaro
39,Melissa Danaczko,/literary_agents/melissa_danaczko,Stuart Krichevsky Literary Agency,Commercial Fiction|Historical|Literary Fiction|Narrative Nonfiction,I became an agent in June 2017 after a decade as a senior editor at Doubleday|where I had the pleasure of working with authors such as Ariel Lawhon|Kate Alcott|Merritt Tierce|Carol Birch|Sandra Gulland|Meg Mitchell Moore|Clifford Jackman|Monte Reel|Michio Kaku|and Marc Goodman.
40,Liz  Darhansoff,/literary_agents/liz_darhansoff,Darhansoff Verrill Feldman Literary Agents,Commercial Fiction|Literary Fiction|Narrative Nonfiction,Lynda Barry|Taylor Branch|Judy Budnitz|Elisha Cooper|Chris Crutcher|Tony D’Souza|Sarah Dessen|Gretel Ehrlich|Peter Elkind|Arthur Golden|Amy Hempel|Pam Houston|Bill James|Jan Karon|Stephen King|William Langewiesche|David Liss|Bethany McLean|Christoph Niemann|Joe Nocera|Daniel Okrent|Annie Proulx|Heather Sellers|Neal Stephenson|Abigail Thomas
41,Reiko Davis,/literary_agents/reiko_davis,DeFiore and Company,Autobiography/Memoir|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nonfiction|Young Adult,Lucy Jane Bledsoe|Alan Gelb|Lindsey Klingele|Devi S. Laskar
42,Liza Dawson,/literary_agents/liza_dawson,Liza Dawson Associates,Autobiography/Memoir|Commercial Fiction|Literary Fiction|Narrative Nonfiction,Annie Barrows|Tawni O'Dell|Mary Ann Shaffer
43,Brian  DeFiore,/literary_agents/brian_defiore,DeFiore and Company,Autobiography/Memoir|Commercial Fiction|Fiction|Literary Fiction|Narrative Nonfiction,Benjamin Hale|Tom Ryan|Brandon Stanton|Rick Yancey
44,Stephanie Delman,/literary_agents/stephanie_delman,Sanford J. Greenburger Associates, Inc.,Cross-genre|Feminist|Fiction|Historical|LGBTQ Voices|Literary Fiction|Narrative Nonfiction|Speculative Fiction,Serena Burdick|Amy Feltman|Julia Fine|Katie M. Flynn|Dami Lee|Amanda Litman|Catherine Lowell|Jennie Melamed|Audrey Murray|Madeline Stevens|Monet Thomas|Theodore Wheeler
45,Sandra Dijkstra,/literary_agents/sandra_dijkstra,Sandra Dijkstra Literary Agency,Commercial Fiction|Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Maxine Hong Kingston|Lisa See|Amy Tan
46,David Doerrer,/literary_agents/david_doerrer,Abrams Artists Agency,Autobiography/Memoir|Commercial Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction,Genevieve Shaw Brown|Lauren Watt|Amy Dockser Marcus|Julie Rehmeyer
47,Priya Doraswamy,/literary_agents/priya_doraswamy,Lotus Lane Literary,Autobiography/Memoir|Commercial Fiction|Fiction|Healing/Health|Historical|Literary Fiction|Narrative Nonfiction|Nonfiction|Religious/Spiritual,Farhad Dadyburjor|Farrukh Dhondy|Sumi Hahn|Nancy Kim|Jerry McGill|Perumal Murugan|Vivek Narayanan|Shuja Nawaz|Annie England Noblin|Onyeka Nwelue|Pia Padukone|Vito Racanelli|RV Raman|Thomas Richards|Lucy Riles|Tom Riles|Rashmi Sadana|Kristin Sample|Arshia Sattar|Irwin Allan Sealy|Hindol Sengupta|Parvati Sharma|Amita Trasi|Sung J Woo|Ovidia Yu
48,Tina Dubois,/literary_agents/tina_dubois,ICM Partners,Autobiography/Memoir|Narrative Nonfiction,Arvin Ahmadi|Shane Burcaw|Brandy Colbert|Shannon Gibney|Christine Heppermann|Kelly Jensen|Morgan Parker|Veronica Rossi|Laura Ruby|Laurel Snyder|Anne Ursu|Arthur Yorinks
49,Henry  Dunow,/literary_agents/henry_dunow,Dunow, Carlson &amp; Lerner Literary Agency,Autobiography/Memoir|Narrative Nonfiction|Literary Fiction|Fiction|Nonfiction,Aimee Bender|Robin Black|Hilma Wolitzer
50,Adam Eaglin,/literary_agents/adam_eaglin,Cheney Associates, LLC,Autobiography/Memoir|Commercial Fiction|Literary Fiction|Narrative Nonfiction|Political,Lawrence Osborne|Jennine Capó Crucet|Ron Rash|Lisa Servon|David Treuer|Devin Leonard|Leah Vincent|Diksha Basu
51,Caroline Eisenmann,/literary_agents/caroline_eisenmann,Frances Goldin Literary Agency, Inc.,Commercial Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Meghan Flaherty|Brandon Hobson
52,Mary Evans,/literary_agents/mary_evans,Mary Evans Agency,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Christopher Castellani|Michael Chabon|Kristin Duisberg|Nicholas von Hoffman|Ayelet Waldman
53,Mark Falkin,/literary_agents/mark_falkin,Falkin Literary,Autobiography/Memoir|Commercial Fiction|Fiction|Humor|Literary Fiction|Narrative Nonfiction|Nonfiction,Brittany Ackerman|Laurent Bouzereau|Dana Cann|Charlie Green|Suzanne Greenberg|Carol Guess|Bill Hillmann|Louisa Luna|David Masciotra|John Milius|Christian Picciolini|K. E. Semmel|Nora Seton|Ery Shin|Christian TeBordo|Teffanie Thompson|Kristen Zimmer
54,Katherine Fausset,/literary_agents/katherine_fausset,Curtis Brown, Ltd.,Autobiography/Memoir|Commercial Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction,Moustafa Bayoumi|Mary Ann Caws|Katharine Davis|James Magruder|Janna McMahan|Benjamin Percy|Chris Rose|Laura van den Berg
55,Leigh Feldman,/literary_agents/leigh_feldman,Leigh Feldman Literary,Autobiography/Memoir|Historical|Literary Fiction|Narrative Nonfiction|Young Adult,Judy Budnitz|Matt Burgess|Andrea Chapin|Sarah Dessen|Parnaz Foroutan|Danielle Ganek|T. J. Forrester|Amy Greene|Jessi Kirby|Beth McMullen|Patrick O'Keeffe|Robin Reul|Misa Sugiura|Alexander Weinstein|Ursula Werner|Kenneth Wishnia.
56,Jenni Ferrari-Adler,/literary_agents/jenni_ferrariadler,Union Literary,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Mo Daviau|Rebecca Dinerstein|Amy Kurzweil|Eileen Pollack
57,Seth Fishman,/literary_agents/seth_fishman,The Gernert Company,Commercial Fiction|Graphic/Illustrated|Literary Fiction,Kate Beaton|Anna Bond|Stephanie Feldman|Alex Grecian|Porochista Khakpour|Ann Leckie|Randall Munroe|Téa Obreht
58,Melissa Flashman,/literary_agents/melissa_flashman,Janklow &amp; Nesbit Associates,Autobiography/Memoir|Commercial Fiction|Fiction|Healing/Health|Pop Culture,Stephanie Mannatt Danler|Kristin Dombek|Stanley Fish|Emily Gould|Kate Zambreno
59,Christy  Fletcher,/literary_agents/christy_fletcher,Fletcher &amp; Company,Autobiography/Memoir|Fiction|Nonfiction,Lynn Coady|Vincent Lam|David Leonhardt
60,Emily Forland,/literary_agents/emily_forland,Brandt &amp; Hotchman Literary Agents, Inc.,Fiction|Literary Fiction,Heidi Durrow|Alice Fulton|Bill Hayes|James Magnuson|Greil Marcus|Dominic Smith|Mary Helen Specht|Joseph Skibell|Shann Ray|Sara Levine
61,Warren Frazier,/literary_agents/warren_frazier,John Hawkins &amp; Associates, Inc.,Literary Fiction,Joyce Carol Oates|Mark Z. Danielewski|Olga Grushin|Jess Walter
62,Molly Friedrich,/literary_agents/molly_friedrich,The Friedrich Agency LLC,Autobiography/Memoir|Narrative Nonfiction|Literary Fiction|Commercial Fiction,Melissa Bank|Sue Grafton|Frank McCourt|Terry McMillan|Esmeralda Santiago|Jane Smiley|Elizabeth Strout
63,Sarah Fuentes,/literary_agents/sarah_fuentes,Fletcher &amp; Company,Autobiography/Memoir|Feminist|Fiction|Historical|Humor|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Political|Pop Culture,Melanie Abrams|Keri Blakinger|Sarah Everts|Natasha Joukovsky|Emily Neuberger|Rina Raphael
64,Kate Garrick,/literary_agents/kate_garrick,The Karpfinger Agency,Commercial Fiction|Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Sanjiv Bhattacharya|David Goodwillie|Jen Lancaster
65,Ellen Geiger,/literary_agents/ellen_geiger,Frances Goldin Literary Agency, Inc.,Autobiography/Memoir|Commercial Fiction|Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Adrienne Rich (estate)|Juan Gonzalez|James Kugel|Robert Tsai
66,Susan  Ginsburg,/literary_agents/susan_ginsburg,Writers House LLC,Literary Fiction|Nonfiction,David Berlinski|Mischa Berlinski|Diane Chamberlain|Dale Degroff|Jane Feather|Eileen Goudge|Edward Humes|Michele Jaffe|Leonard Mlodinow|Mark Scarbroug|Jane Seymour|Bruce Weinstein      
67,Veronica Goldstein,/literary_agents/veronica_goldstein,Fletcher &amp; Company,Autobiography/Memoir|Feminist|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction|Political|Pop Culture|Translation,Heriberto Araújo|Daniel Sherrell|Alicia Puglionesi|Daisy Pitkin|Jennifer Nansubuga Makumbi|Toby Wilkinson
68,Susan Golomb,/literary_agents/susan_golomb,Writers House,Autobiography/Memoir|Commercial Fiction|Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction,Janelle Brown|Yvon Chouinard|Harry S. Dent|Jonathan Franzen|Lexi Freiman|Glen David Gold|Peter Golden|Charles Graeber|Noah Hawley|Gabe Hudson|Lindsey Lee Johnson|Liz Kay|Angie Kim|Rachel Kushner|Krys Lee|Mira T. Lee|Stephen Markley|Imbolo Mbue|Matthew McIntosh|Wayetu Moore|Thomas Mullen|Tim Murphy|Ruby Namdar|Dexter Palmer|Sarah Perry|Jordy Rosenberg|Gwyn Hyman Rubio|Brand Skyhorse|Jim St. Germain|William T. Vollmann|Nell Zink
69,Mark Gottlieb,/literary_agents/mark_gottlieb,Trident Media Group,Commercial Fiction|Fiction|Graphic/Illustrated|Literary Fiction|Nonfiction,Samantha Chase|James Breakwell|Christopher Brown|Ruby Karp|Kate Moretti|Jason Walz|Deborah A. Wolf
70,Rebecca Gradinger,/literary_agents/rebecca_gradinger,Fletcher &amp; Company,Autobiography/Memoir|Humor|Narrative Nonfiction|Literary Fiction|Commercial Fiction|Pop Culture,Pauline Chen|David Gillham|Kathleen Grissom|Maggie Shipstead
71,Katie Grimm,/literary_agents/katie_grimm,Don Congdon Associates, Inc.,Historical|Literary Fiction,Elizabeth Huergo|David Lomax
72,Laura Gross,/literary_agents/laura_gross,Laura Gross Literary Agency,Commercial Fiction|Cross-genre|Feminist|Fiction|Historical|Journalism/Investigative Reporting|LGBTQ Voices|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction|Political|Translation|War,Andrea Buchanan|Martin Philip|Jodi Picoult|Shahad al Rawi|Judith Schwartz
73,Taylor Haggerty,/literary_agents/taylor_haggerty,Root Literary,Commercial Fiction|Cross-genre|Fiction|Love|Young Adult,Sally Thorne|Kate Clayborn|Karina Halle|Bridget Morrissey|Brittany Cavallaro|Destiny Soria|Emily Henry|Kayla Olson|Lana Popovic|Natasha Ngan
74,Alia Hanna Habib,/literary_agents/alia_hanna_habib,The Gernert Company,Autobiography/Memoir|Fiction|Narrative Nonfiction,John Donvan|Ophira Eisenberg|Elizabeth Green|Josh Levin|Caren Zucker
75,Ryan D. Harbage,/literary_agents/ryan_d_harbage,The Fischer-Harbage Agency Inc.,Autobiography/Memoir|Historical|Literary Fiction|Narrative Nonfiction,Ethan Brown|Courtney Eldridge|Bill Eppridge|Aliya King|Amy Sullivan|and Jackson Taylor
76,Joy Harris,/literary_agents/joy_harris,The Joy Harris Literary Agency, Inc.,Literary Fiction|Narrative Nonfiction,Dylan Landis|Sigrid Nunez|Elissa Schappell|Weike Wang
77,Ross Harris,/literary_agents/ross_harris,Stuart Krichevsky Literary Agency,Autobiography/Memoir|Commercial Fiction|Graphic/Illustrated|Literary Fiction|Narrative Nonfiction|Pop Culture,Rebekah Frumkin|Ruth Joffre|Isaac Oliver|Charlyne Yi|Manoush Zomorodi|A. Brad Schwartz|Carson Vaughan|Angela Chen|Jared Yates Sexton|Amy Peterson|and others
78,Shannon Hassan,/literary_agents/shannon_hassan,Marsal Lyon Literary Agency, LLC,Cross-genre|Fiction|Historical|Literary Fiction|Narrative Nonfiction|Young Adult,Ruvanee Vilhauer|Weina Dai Randel|Rob Rufus|Dusti Bowling|Caroline Woods|Jennie Liu
79,David Haviland,/literary_agents/david_haviland,Andrew Lownie Literary Agency,Fiction,Patrick Dillon|Sibylle Berg|Dominic Adler|Chloe Banks|David McGrath|Matt Wilven
80,Gail Hochman,/literary_agents/gail_hochman,Brandt &amp; Hochman Literary Agents, Inc.,Autobiography/Memoir|Literary Fiction,Michael Cunningham|Julia Glass|Nancy Reisman|Scott Turow
